main_product_smiles	secondary_products_smiles	similarity_substrates	similarity_products	reacting_atoms_in_query	reaction_id	substrate	product	num_atoms	reacting_atoms_efficiency	confidence_score	metabolite_id
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1	0.867	0.868	[24, 18, 17, 16, 15, 14, 12, 13, 11, 9, 10, 0, 1, 2, 3]	MNXR145242	MNXM731048	MNXM730404	15	0.577	2.312	Prednisone_1
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	0.867	0.868	[24, 18, 17, 16, 15, 14, 12, 13, 11, 9, 10, 0, 1, 2, 3]	MNXR145244	MNXM731048	MNXM730404	15	0.577	2.312	Prednisone_1
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.741	0.752	[24, 18, 17, 16, 15, 14, 12, 11, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]	MNXR102263	MNXM730450	MNXM728289	18	0.692	2.185	Prednisone_2
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS	0.729	0.761	[8, 7, 5, 6, 3, 4, 2, 1, 0, 15, 14, 12, 11, 9, 10]	MNXR107765	MNXM730404	MNXM4531	15	0.577	2.067	Prednisone_3
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.698	0.714	[15, 14, 12, 11, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]	MNXR158466	MNXM734569	MNXM730404	14	0.538	1.95	Prednisone_2
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.672	0.682	[15, 14, 12, 11, 9, 10, 0, 1, 2, 3, 4, 5, 6, 7]	MNXR148897	MNXM730460	MNXM3796	14	0.538	1.892	Prednisone_2
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1	0.518	0.571	[7, 5, 6, 3, 2, 1, 0, 15, 16, 17, 18, 24, 14, 12, 11, 9, 10]	MNXR147563	MNXM730474	MNXM730815	17	0.654	1.743	Prednisone_4
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)C(O)O	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.518	0.557	[24, 18, 17, 16, 15, 14, 12, 11, 9, 10, 3, 5, 6, 7, 2, 1, 0]	MNXR102262	MNXM730474	MNXM730534	17	0.654	1.729	Prednisone_2
CC12C=CC(=O)C=C1CC(O)C1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.781	0.711	[14, 15, 16, 17, 18, 24]	MNXR102251	MNXM728289	MNXM730404	6	0.231	1.723	Prednisone_5
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O	0.781	0.71	[24, 18, 17, 16, 15, 14]	MNXR102251	MNXM728289	MNXM730404	6	0.231	1.722	Prednisone_6
